store_id,product_id,current_stock
S001,P001,86
S001,P002,210
S001,P003,155
S001,P004,180
S001,P005,420
S001,P006,72
S001,P007,190
S001,P008,310
S001,P009,115
S001,P010,130
S001,P011,220
S001,P012,145
S002,P001,520
S002,P002,190
S002,P003,80
S002,P004,140
S002,P005,360
S002,P006,85
S002,P007,210
S002,P008,470
S002,P009,90
S002,P010,75
S002,P011,180
S002,P012,120
S003,P001,130
S003,P002,260
S003,P003,125
S003,P004,220
S003,P005,150
S003,P006,60
S003,P007,300
S003,P008,160
S003,P009,105
S003,P010,115
S003,P011,240
S003,P012,170
